frase_id;ord;token;pos;lema
24;2;menos;adv;meno
24;3;faz;v-fin;fazer
24;4;quer;v-fin;querer
24;5;bem;adv;bem
24;6;apetece;v-fin;apetecer
24;7;não;adv;não
24;8;normal;adj;normal
24;9;não;adv;não
24;10;é.;N;é.
25;1;não;adv;não
25;2;reproduzem;N;reproduzem
26;1;xenofobia;N;xenofobia
26;2;coisas;n;coisa
26;3;provocadas;v-pcp;provocar
26;4;manifestações;n;manifestaçõe
26;5;quiserem;v-fin;querer
26;6;não;adv;não
26;7;precisam;v-fin;precisar
26;8;andar;v-inf;andar
26;9;manifestações;n;manifestaçõe
26;10;mostrar;v-inf;mostrar
26;11;fazem;v-fin;fazer
26;12;crianças;n;criança
26;13;meio;n;meio
26;14;Tenham;N;tenham
26;15;paciência;n;paciência
26;16;deixem;v-fin;deixar
26;17;animais;n;animal
26;18;paz;n;paz
27;1;não;adv;não
27;2;obriguem;v-fin;obrigar
27;3;assistir;v-inf;assistir
27;4;manifestações;n;manifestaçõe
27;5;gays;n;gay
27;6;façam;v-fin;façar
27;7;quiserem;v-fin;querer
28;1;Problemas;n;problema
28;2;mentais;adj;mental
28;3;tratados;v-pcp;tratar
28;4;não;adv;não
28;5;normalizados;N;normalizado
29;1;opinião;n;opinião
29;2;cremado;N;cremado
30;1;Não;adv;não
30;2;quero;v-fin;querer
30;3;saber;v-inf;saber
30;4;gosta;v-fin;gostar
30;5;Só;adv;só
30;6;não;adv;não
30;7;precisam;v-fin;precisar
30;8;coisas;n;coisa
30;9;especiais;adj;especial
31;1;Sejam;N;sejam
31;2;quiserem;v-fin;querer
31;3;Não;adv;não
31;4;façam;v-fin;façar
31;5;propaganda;n;propaganda
32;1;amor;n;amor
32;2;vencerá;N;vencerá
33;1;XX;adj;xx
33;2;apenas;adv;apena
34;1;natural;adj;natural
34;2;não;adv;não
34;3;precisavam;N;precisavam
34;4;bandeira;n;bandeira
34;5;identificarem;N;identificarem
35;1;Ah;N;ah
35;2;bom;adj;bom
35;3;mundo;n;mundo
35;4;solidário;adj;solidário
35;5;amoroso;N;amoroso
36;1;Certo;adj;certo
36;2;lá;adv;lá
36;3;homossexuais;N;homossexual
36;4;preciso;adj;preciso
36;5;andarem;N;andarem
36;6;vestidos;v-pcp;vestir
36;7;palhaços;N;palhaço
36;8;ligas;N;liga
36;9;top;adj;top
36;10;Hajam;N;hajam
36;11;juízo;n;juízo
36;12;vistam-;N;vistam
36;13;normalmente;adv;normalmente
36;14;gente;n;gente
36;15;roupas;n;roupa
36;16;homem;n;homem
36;17;mulher;n;homem
37;1;propaganda;n;propaganda
37;2;continua;v-fin;continuar
38;1;Não;adv;não
38;2;anti-LGBT;N;anti-lgbt
38;3;só;adv;só
38;4;argumento;n;argumento
38;5;naturalista;N;naturalista
38;6;animais;n;animal
38;7;existe;v-fin;existir
38;8;lei;n;lei
38;9;mais;adv;mal
38;10;forte;adj;forte
38;11;devemos;v-fin;dever
38;12;trazê-la;N;trazê-la
38;13;sociedade;n;sociedade
38;14;humana;adj;humano
38;15;Não;adv;não
38;16;pessoas;n;pessoa
38;17;só;adv;só
38;18;perceber;v-inf;perceber
38;19;ama;v-fin;amar
38;20;quer;v-fin;querer
38;21;preso;v-pcp;prender
38;22;sofrer;v-inf;sofrer
38;23;consequências;n;consequência
38;24;políticas;adj;político
39;1;Convenientemente;N;convenientemente
39;2;lembraram-;N;lembraram
39;3;agora;adv;agora
39;4;Agora;adv;agora
39;5;gays;n;gay
39;6;trans;N;tram
39;7;bi;N;bi
39;8;fluidos;N;fluido
39;9;moda;n;moda
39;10;certamente;adv;certamente
40;1;Infelizmente;adv;infelizmente
40;2;ainda;adv;ainda
40;3;pior;adj;mau
40;4;gente;n;gente
40;5;acha;v-fin;achar
40;6;direito;n;direito
40;7;intervir;v-inf;intervir
40;8;vida;n;vida
40;9;humano;adj;humano
41;1;Lá;adv;lá
41;2;legal;adj;legal
41;3;não;adv;não
41;4;quer;v-fin;querer
